party,year,total_votes,no_of_seats
WPOI,2019,23035,2
YJJP,2019,10147,6
YKP,2019,30492,4
YSRCP,2014,13995435,38
YSRCP,2019,15537006,25
YSRPP,2019,1320,1
YVP,2019,2858,1
YuS,2014,4578,2
YuS,2019,1296,2
aicp,2014,3778,3
aicp,2019,3391,2
aimpr,2014,1182,1
asdp,2014,1949,1
bhp,2014,1635,1
bjdi,2014,1118,3
bjdi,2019,435,1
bjyp,2014,2000,2
bmd,2019,1549,1
bns,2014,1862,2
bns,2019,4917,3
cvgrp,2019,5540,2
grac,2014,2906,1
grac,2019,2952,1
hkd,2014,2761,1
igp,2014,546,1
igp,2019,824,2
jhspt,2014,27122,5
jhspt,2019,1431,1
kajp,2014,4839,4
kajp,2019,1336,1
lpi,2014,5804,4
mimm,2019,4413,1
mmsp,2014,959,1
nuzp,2014,124990,3
pjdl,2014,28671,3
pjdl,2019,1223,1
pms,2014,3076,1
rajpt,2019,2058,1
raup,2014,1629,1
ravp,2014,38992,6
ravp,2019,9109,1
rdsc,2014,10800,2
rpsn,2019,5982,4
shsap,2014,2982,1
skd,2019,3877,1
sps,2014,4870,2
ssrd,2014,7115,4
ssrd,2019,7325,7
svjn,2019,2554,2
swbi,2019,527,1
